PHOTO_2,-,-,-
FE,893.022850785868,308.142334606322,-FS,829.66068196365,238.733923356229,-DF,830.037987813483,240.042954987156,-DF,829.433250649991,240.355659067509,-DF,829.273797787434,241.619659658627,-DF,829.010660388122,242.283598172853,-DF,828.396869353393,243.576980392003,-DF,827.059914937401,245.273226920594,-DF,826.49859558552,245.925588412485,-DF,828.238422377998,246.34360499927,-DF,830.551820682315,247.168176938112,-DF,832.137001614675,248.083538680923,-DF,833.211339388958,248.895637562997,-DF,833.780548615109,249.172666949699,-DF,833.866247039928,249.606627331446,-DF,833.124556927339,248.413614256553,-DF,831.256305117982,249.181512760994,-DF,830.621797745168,249.746776705093,-DF,830.753666666574,251.086648397787,-DF,831.747663526937,251.033347912631,-DF,832.553312524802,251.135386365305,-DF,833.284506166384,250.725642870921,-DF,834.032400260049,249.943246566,-DF,834.424460858439,249.842193647727,-DF,833.635089371155,248.650650406119,-DF,832.956812092822,247.291154103568,-DF,833.246026051579,246.17486774688,-DF,83
DF,974.729827027018,38.6964775635488,-
DF,974.728662470755,42.0390908570948,-
DF,974.625705623271,45.7471382733267,-
DF,974.826629391005,48.1552727096494,-
DF,975.356474830572,50.3532755283699,-
DF,974.52272629857,51.4238864572535,-
DF,973.338159147848,51.2162060101972,-
DF,972.362075698141,50.027006264043,-
DF,972.618150044622,48.7622930532758,-
DF,972.841206044778,48.1638402274438,-
DF,973.042174888821,47.6694355991769,-
DF,972.688186958592,46.03849280162,-
DF,972.367909337567,44.7937240076965,-
DF,971.826111408684,43.2483691437666,-
DF,971.271078886558,43.1705899901174,-
DF,971.657388670102,43.1869145202678,-
DF,971.779751199548,44.1545739384044,-
DF,972.348191367376,44.6409393382102,-
DF,972.495838754983,44.6645716143024,-
DF,973.171730421886,46.1659093550628,-
DF,973.588195369393,46.2369752458275,-
DF,974.253589501727,47.0861437477428,-
DF,974.061263521763,48.9873694393334,-
DF,974.089486975514,50.2491395246948,-
DF,974.530031537971,51.5667328042666,-
DF,973.950297747402,51.622123400049,-
DF,974.475845304111,58.312755370785,-
DF,978.256832360281,65.5193446493201,-
DF,982.224616866595,79.9520665278421,-
DF,986.955710391814,91.723649143974,-
DF,989.133699977603,98.9809881447481,-
DF,989.809467727827,104.284993818148,-
DF,989.485349717752,107.767215647563,-
DF,988.543306192666,110.482823918073,-
DF,987.423546771764,112.728065004394,-
DF,986.297318367389,114.725601327506,-
DF,986.011633043419,115.397399330249,-
DF,985.688090080962,116.409689905205,-
DF,984.720481343301,115.657534440762,-
DF,983.214335022035,116.223593840373,-
DF,982.018815609081,117.116667057654,-
DF,983.150618199487,115.791657442215,-
DF,985.852701626064,113.75971262054,-
DF,994.73024584437,106.440250763362,-
DF,1003.53930220184,102.291277394274,-
DF,1010.04613629683,99.5214799345636,-
DF,1015.98702958159,98.8697291955409,-
DF,1019.28223044783,97.9271758294682,-
DF,1021.28556275757,98.7717691524462,-
DF,1022.99113727013,100.865918802711,-
DF,1024.3273015783,103.236157015204,-
DF,1024.66622315643,103.688720491008,-
DF,1024.49961994241,104.618405936214,-
DF,1024.45729852875,104.827403887596,-
DF,1024.297243375,104.425221298271,-
DF,1023.41185078537,103.94392367306,-
DF,1021.83377570518,103.207823463109,-
